light_id,x,y,z,status,hits,bounce0_nodes,bounce1_nodes,contributions
166,0.173,2.091,0.244,SCENE_VALID,0,0,0,0
167,-0.312,2.106,-0.386,SCENE_VALID,1,1,0,0
168,-0.315,1.800,0.372,SCENE_VALID,1,1,1,0
169,0.168,2.100,-0.207,SCENE_VALID,1,1,0,0
170,0.392,2.096,-0.041,SCENE_VALID,1,1,1,0
171,0.010,1.800,0.273,SCENE_VALID,1,1,0,0
172,-0.387,2.110,-0.394,SCENE_VALID,1,1,1,0
173,-0.186,2.086,0.356,SCENE_VALID,1,1,1,0
174,0.302,1.801,-0.173,SCENE_VALID,1,1,0,0
175,0.324,2.119,-0.079,SCENE_VALID,1,1,0,0
176,-0.154,2.076,0.300,SCENE_VALID,1,1,1,0
177,-0.394,1.802,-0.399,SCENE_VALID,1,1,0,0
178,-0.025,2.128,0.337,SCENE_VALID,1,1,0,0
179,0.383,2.066,-0.138,SCENE_VALID,1,1,1,0
180,0.200,1.804,-0.116,SCENE_VALID,1,1,0,0
181,-0.292,2.136,0.323,SCENE_VALID,1,1,0,0
182,-0.333,2.055,-0.400,SCENE_VALID,1,1,1,0
183,0.140,1.807,0.315,SCENE_VALID,1,1,0,0
184,0.397,2.144,-0.102,SCENE_VALID,1,1,0,0
185,0.040,2.044,-0.152,SCENE_VALID,0,0,0,0
186,-0.378,1.810,0.344,SCENE_VALID,1,1,1,0
187,-0.213,2.152,-0.397,SCENE_VALID,1,1,1,0
188,0.281,2.033,0.290,SCENE_VALID,1,1,1,0
189,0.341,1.814,-0.065,SCENE_VALID,1,1,1,0
190,-0.126,2.159,-0.187,SCENE_VALID,0,0,0,0
191,-0.398,2.022,0.362,SCENE_VALID,1,1,1,0
192,-0.055,1.818,-0.391,SCENE_VALID,1,1,0,0
193,0.373,2.165,0.262,SCENE_VALID,1,1,0,0
194,0.225,2.011,-0.027,SCENE_VALID,1,1,0,0
195,-0.271,1.823,-0.219,SCENE_VALID,1,1,0,0
196,-0.349,2.171,0.377,SCENE_VALID,1,1,0,0
